judge_model,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
invalid_dummy,chatgpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
invalid_dummy,fid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
invalid_dummy,gpt35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
invalid_dummy,gpt4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
invalid_dummy,newbing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
perfect_dummy,chatgpt,0.4,0.6,-0.19999999999999996,0.8,0.6000000000000001,1.0,0.6666666666666666,0.8,2,0,2,1,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
perfect_dummy,fid,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.9166666666666666,0.6190476190476188,1.0,0.9090909090909091,0.9523809523809523,10,0,1,1,0.0,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,0.0
perfect_dummy,gpt35,0.6153846153846154,0.6923076923076923,-0.07692307692307687,0.9230769230769231,0.8300653594771243,1.0,0.8888888888888888,0.9411764705882353,8,0,4,1,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0
perfect_dummy,gpt4,0.5,0.75,-0.25,0.75,0.4666666666666667,1.0,0.6666666666666666,0.8,4,0,2,2,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
perfect_dummy,newbing,0.5833333333333334,0.5833333333333334,0.0,0.8333333333333334,0.6571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,4,1,0.2,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0
