judge_model,prompt_template,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gemma_3_12b,minimal,chatgpt,0.8616600790513834,0.7905138339920948,0.07114624505928857,0.8893280632411067,0.6148325358851675,0.8944954128440367,0.975,0.9330143540669856,195,23,30,5,0.4339622641509434,0.025,0.0,1.0,4096.252964426877,2937.0,11883.399999999992,0.0
gemma_3_12b,minimal,fid,0.8319327731092437,0.7478991596638656,0.08403361344537819,0.907563025210084,0.7214893617021277,0.8939393939393939,0.9943820224719101,0.9414893617021277,177,21,39,1,0.35,0.0056179775280898875,0.0,1.0,3758.529411764706,2878.5,8752.349999999991,0.0
gemma_3_12b,minimal,gpt35,0.810077519379845,0.7286821705426356,0.08139534883720934,0.8798449612403101,0.6614101560019474,0.8755980861244019,0.973404255319149,0.9219143576826198,183,26,44,5,0.37142857142857144,0.026595744680851064,0.0,1.0,4056.391472868217,3163.0,10033.699999999993,0.0
gemma_3_12b,minimal,gpt4,0.9537037037037037,0.8564814814814815,0.09722222222222221,0.8842592592592593,0.326305283513194,0.8883495145631068,0.9891891891891892,0.9360613810741688,183,23,8,2,0.7419354838709677,0.010810810810810811,0.0,1.0,3831.384259259259,3090.0,8687.0,0.0
gemma_3_12b,minimal,newbing,0.9273504273504274,0.8290598290598291,0.09829059829059827,0.8675213675213675,0.3807145601229352,0.8755760368663594,0.979381443298969,0.924574209245742,190,27,13,4,0.675,0.020618556701030927,0.00425531914893617,0.9957446808510638,3712.4871794871797,2942.5,8148.449999999997,0.0
gemma_3_27b,minimal,chatgpt,0.7984189723320159,0.7905138339920948,0.007905138339921014,0.9130434782608695,0.7337351703023344,0.9405940594059405,0.95,0.9452736318407959,190,12,41,10,0.22641509433962265,0.05,0.0,1.0,2096.893280632411,2022.0,2747.3999999999996,0.0
gemma_3_27b,minimal,fid,0.7394957983193278,0.7478991596638656,-0.008403361344537785,0.907563025210084,0.7575252384921737,0.9431818181818182,0.9325842696629213,0.9378531073446328,166,10,50,12,0.16666666666666666,0.06741573033707865,0.0,1.0,2051.8991596638657,1985.5,2754.0499999999997,0.0
gemma_3_27b,minimal,gpt35,0.7248062015503876,0.7286821705426356,-0.003875968992248069,0.9341085271317829,0.8340992907801418,0.9572192513368984,0.9521276595744681,0.9546666666666667,179,8,62,9,0.11428571428571428,0.047872340425531915,0.0,1.0,2120.4147286821703,2086.5,2659.3,0.0
gemma_3_27b,minimal,gpt4,0.8518518518518519,0.8564814814814815,-0.00462962962962965,0.9398148148148148,0.7584204413472704,0.967391304347826,0.9621621621621622,0.964769647696477,178,6,25,7,0.1935483870967742,0.03783783783783784,0.0,1.0,2113.3888888888887,2038.0,2807.0,0.0
gemma_3_27b,minimal,newbing,0.8425531914893617,0.8297872340425532,0.012765957446808529,0.9191489361702128,0.7049006972671094,0.9444444444444444,0.958974358974359,0.9516539440203563,187,11,29,8,0.275,0.041025641025641026,0.0,1.0,2117.595744680851,2085.0,2667.2999999999997,0.0
gemma_4_26b,minimal,chatgpt,0.788,0.796,-0.008000000000000007,0.936,0.8057498057498059,0.9644670050761421,0.9547738693467337,0.9595959595959597,190,7,44,9,0.13725490196078433,0.04522613065326633,0.011857707509881422,0.9881422924901185,8157.688,6599.0,16082.449999999997,0.0
gemma_4_26b,minimal,fid,0.759493670886076,0.7510548523206751,0.008438818565400852,0.9662447257383966,0.9086881140435368,0.9722222222222222,0.9831460674157303,0.9776536312849161,175,5,54,3,0.0847457627118644,0.016853932584269662,0.004201680672268907,0.9957983193277311,7261.0801687763715,5855.0,14713.399999999992,0.0
gemma_4_26b,minimal,gpt35,0.7315175097276264,0.7315175097276264,0.0,0.9377431906614786,0.841504779525131,0.9574468085106383,0.9574468085106383,0.9574468085106385,180,8,61,8,0.11594202898550725,0.0425531914893617,0.003875968992248062,0.9961240310077519,9403.0,6702.0,17992.79999999997,0.0
gemma_4_26b,minimal,gpt4,0.9107981220657277,0.8685446009389671,0.04225352112676062,0.9483568075117371,0.7369337001066639,0.9484536082474226,0.9945945945945946,0.9709762532981531,184,10,18,1,0.35714285714285715,0.005405405405405406,0.013888888888888888,0.9861111111111112,8480.849765258215,6360.0,18431.4,0.0
gemma_4_26b,minimal,newbing,0.8376068376068376,0.8290598290598291,0.008547008547008517,0.9230769230769231,0.7230769230769232,0.9489795918367347,0.9587628865979382,0.9538461538461539,186,10,30,8,0.25,0.041237113402061855,0.00425531914893617,0.9957446808510638,9427.619658119658,7172.0,16332.499999999995,0.0
gemma_4_31b,minimal,chatgpt,0.8127659574468085,0.8,0.012765957446808418,0.9446808510638298,0.822842065586129,0.9581151832460733,0.973404255319149,0.9656992084432718,183,8,39,5,0.1702127659574468,0.026595744680851064,0.07114624505928854,0.9288537549407114,8819.625531914893,7356.0,18516.29999999998,0.0
gemma_4_31b,minimal,fid,0.771689497716895,0.7488584474885844,0.022831050228310557,0.958904109589041,0.8872586872586871,0.9585798816568047,0.9878048780487805,0.9729729729729729,162,7,48,2,0.12727272727272726,0.012195121951219513,0.07983193277310924,0.9201680672268907,7650.762557077625,6676.0,13687.199999999999,0.0
gemma_4_31b,minimal,gpt35,0.7333333333333333,0.7291666666666666,0.004166666666666652,0.9375,0.8409858874975155,0.9545454545454546,0.96,0.9572649572649573,168,8,57,7,0.12307692307692308,0.04,0.06976744186046512,0.9302325581395349,8668.279166666667,7327.0,16580.549999999996,0.0
gemma_4_31b,minimal,gpt4,0.9132653061224489,0.8571428571428571,0.056122448979591844,0.923469387755102,0.6234390009606146,0.9273743016759777,0.9880952380952381,0.9567723342939483,166,13,15,2,0.4642857142857143,0.011904761904761904,0.09259259259259259,0.9074074074074074,9043.704081632653,7330.5,16891.0,0.0
gemma_4_31b,minimal,newbing,0.8394495412844036,0.8302752293577982,0.00917431192660545,0.8990825688073395,0.6340048840048843,0.9344262295081968,0.9447513812154696,0.9395604395604397,171,12,25,10,0.32432432432432434,0.055248618784530384,0.07234042553191489,0.9276595744680851,9292.325688073395,7864.0,16912.549999999985,0.0
